order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,total_amount,status,region
ORD-04732,C145,P042,2024-03-03 23:02:51.977100,4,843.5,5,3205.3,completed,North America
ORD-02218,C198,P014,2024-03-04 10:23:57.977100,8,736.69,0,5893.52,completed,Europe
ORD-01101,C111,P037,2024-03-04 13:01:52.977100,4,423.64,0,1694.56,completed,LATAM
ORD-03540,C167,P045,2024-03-05 02:14:46.977100,13,589.89,5,7285.14,completed,North America
ORD-01815,C353,P034,2024-03-05 10:46:08.977100,3,472.91,0,1418.73,completed,North America
ORD-00439,C478,P019,2024-03-05 13:30:45.977100,6,644.07,0,3864.42,cancelled,North America
ORD-01767,C069,P017,2024-03-05 13:50:06.977100,14,883.99,0,12375.86,cancelled,Europe
ORD-03130,C252,P033,2024-03-06 00:35:53.977100,3,79.94,10,215.84,completed,North America
ORD-02635,C181,P019,2024-03-06 02:20:48.977100,7,631.03,0,4417.21,completed,North America
ORD-03741,C223,P032,2024-03-06 12:08:44.977100,9,905.61,0,8150.49,completed,North America
ORD-02538,C024,P026,2024-03-06 14:33:55.977100,15,337.56,15,4303.89,pending,North America
ORD-02908,C196,P008,2024-03-07 01:44:32.977100,13,273.39,0,3554.07,pending,North America
ORD-03123,C246,P048,2024-03-07 09:58:10.977100,13,253.39,5,3129.37,completed,North America
ORD-03883,C410,P048,2024-03-07 09:59:50.977100,16,267.92,0,4286.72,refunded,Europe
ORD-00033,C024,P019,2024-03-07 10:30:46.977100,12,637.39,10,6883.81,cancelled,Europe
ORD-02134,C135,P043,2024-03-07 12:29:43.977100,3,518.85,0,1556.55,completed,APAC
ORD-00852,C045,P008,2024-03-08 07:12:28.977100,19,280.96,10,4804.42,completed,Europe
ORD-01999,C164,P016,2024-03-08 07:37:43.977100,1,663.44,10,597.1,cancelled,North America
ORD-01317,C290,P043,2024-03-08 10:04:02.977100,5,514.56,15,2186.88,completed,North America
ORD-03893,C050,P042,2024-03-08 13:17:23.977100,8,850.69,5,6465.24,completed,North America
ORD-04106,C028,P002,2024-03-08 14:57:45.977100,5,126.63,0,633.15,completed,North America
ORD-04693,C499,P037,2024-03-09 02:49:53.977100,3,389.52,5,1110.13,completed,LATAM
ORD-02814,C033,P012,2024-03-09 09:15:33.977100,11,501.57,5,5241.41,refunded,Europe
ORD-03219,C338,P047,2024-03-09 14:00:06.977100,10,959.2,5,9112.4,completed,Europe
ORD-03081,C020,P006,2024-03-10 07:45:18.977100,18,291.76,0,5251.68,pending,Europe
ORD-02465,C390,P009,2024-03-10 10:13:20.977100,12,717.0,0,8604.0,completed,Europe
ORD-04035,C283,P017,2024-03-10 10:33:52.977100,17,894.5,20,12165.2,completed,LATAM
ORD-04053,C147,P047,2024-03-10 10:39:09.977100,14,913.29,0,12786.06,cancelled,Europe
ORD-04003,C387,P019,2024-03-10 10:57:40.977100,8,635.33,15,4320.24,pending,Europe
ORD-03746,C329,P027,2024-03-10 13:45:54.977100,16,239.22,15,3253.39,completed,North America
ORD-02809,C471,P030,2024-03-11 04:14:21.977100,16,554.09,10,7978.9,completed,Europe
